2018-06-19 16:29:54 9515 [http-nio-9996-exec-1] WARN  o.s.web.servlet.PageNotFound - Request method 'GET' not supported
2018-06-19 16:29:55 10003 [http-nio-9996-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 16:29:57 11672 [http-nio-9996-exec-3] WARN  o.s.web.servlet.PageNotFound - Request method 'GET' not supported
2018-06-19 16:30:43 14263 [http-nio-9996-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/downloadFile] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 16:32:08 20206 [http-nio-9996-exec-2] WARN  o.s.web.servlet.PageNotFound - Request method 'GET' not supported
2018-06-19 17:33:26 1104823 [http-nio-9996-exec-3] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/upload] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:33:34 1112760 [http-nio-9996-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/fileupload] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:35:03 1202160 [http-nio-9996-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:35:18 1217312 [http-nio-9996-exec-4] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:35:22 1220529 [http-nio-9996-exec-5] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:35:26 1224678 [http-nio-9996-exec-7] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:20 26998 [http-nio-9996-exec-5] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:24 30770 [http-nio-9996-exec-7] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:29 35700 [http-nio-9996-exec-9] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:33 39687 [http-nio-9996-exec-2] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:51 57505 [http-nio-9996-exec-1] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:54 61082 [http-nio-9996-exec-5] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:40:58 64276 [http-nio-9996-exec-7] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:41:20 86487 [http-nio-9996-exec-9] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/favicon.ico] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:42:46 173100 [http-nio-9996-exec-9] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/downlod] in DispatcherServlet with name 'dispatcherServlet'
2018-06-19 17:42:50 176780 [http-nio-9996-exec-10] WARN  o.s.web.servlet.PageNotFound - No mapping found for HTTP request with URI [/downlod] in DispatcherServlet with name 'dispatcherServlet'
